nom,date,cumulative_confirmed_cases,nom_clean,new_cases,rt_proxy,cumulative_confirmed_deaths,day_idx,rolling_3d_new_cases,anomaly_score
Aru,2026-05-22,1.0,Aru,0.0,,,0,0.0,0.0003885944084025539
Aru,2026-05-23,1.0,Aru,0.0,,,1,0.0,0.0003885944084025539
Aru,2026-05-24,1.0,Aru,0.0,,,2,0.0,0.0003885944084025539
Aru,2026-05-25,1.0,Aru,0.0,,,3,0.0,0.0003885944084025539
Aru,2026-05-26,1.0,Aru,0.0,,,4,0.0,0.0003885944084025539
Aru,2026-05-27,1.0,Aru,0.0,,,5,0.0,0.0003885944084025539
Aru,2026-05-28,2.0,Aru,1.0,,1.0,6,0.3333333333333333,-1.4251931756567302
Aru,2026-05-29,2.0,Aru,0.0,,1.0,7,0.3333333333333333,-0.8730765821747752
Aru,2026-05-30,2.0,Aru,0.0,,1.0,8,0.3333333333333333,-0.8730765821747752
Aru,2026-06-01,2.0,Aru,0.0,,1.0,9,0.0,0.0003885944084025539
Aru,2026-06-02,2.0,Aru,0.0,,1.0,10,0.0,0.0003885944084025539
Aru,2026-06-03,2.0,Aru,0.0,,1.0,11,0.0,0.0003885944084025539
Aru,2026-06-04,3.0,Aru,1.0,,1.0,12,0.3333333333333333,-1.4251931756567302
Aru,2026-06-05,3.0,Aru,0.0,1.0,1.0,13,0.3333333333333333,-0.8730765821747752
Aru,2026-06-06,3.0,Aru,0.0,1.0,1.0,14,0.3333333333333333,-0.8730765821747752
Aru,2026-06-07,3.0,Aru,0.0,1.0,1.0,15,0.0,0.0003885944084025539
Aru,2026-06-08,3.0,Aru,0.0,1.0,1.0,16,0.0,0.0003885944084025539
Aru,2026-06-09,3.0,Aru,0.0,1.0,1.0,17,0.0,0.0003885944084025539
Aru,2026-06-10,3.0,Aru,0.0,1.0,1.0,18,0.0,0.0003885944084025539
Aru,2026-06-11,3.0,Aru,0.0,0.0,1.0,19,0.0,0.0003885944084025539
Aru,2026-06-13,3.0,Aru,0.0,0.0,1.0,20,0.0,0.0003885944084025539
Aru,2026-06-14,3.0,Aru,0.0,0.0,1.0,21,0.0,0.0003885944084025539
Aru,2026-06-15,3.0,Aru,0.0,0.0,1.0,22,0.0,0.0003885944084025539
Aru,2026-06-16,3.0,Aru,0.0,0.0,,23,0.0,0.0003885944084025539
Aru,2026-06-17,3.0,Aru,0.0,0.0,1.0,24,0.0,0.0003885944084025539
Aru,2026-06-18,3.0,Aru,0.0,0.0,1.0,25,0.0,0.0003885944084025539
Aru,2026-06-19,3.0,Aru,0.0,,1.0,26,0.0,0.0003885944084025539
Aru,2026-06-20,3.0,Aru,0.0,,1.0,27,0.0,0.0003885944084025539
Aru,2026-06-21,3.0,Aru,0.0,,1.0,28,0.0,0.0003885944084025539
Aru,2026-06-22,3.0,Aru,0.0,,1.0,29,0.0,0.0003885944084025539
Aru,2026-06-23,3.0,Aru,0.0,,1.0,30,0.0,0.0003885944084025539
Aru,2026-06-24,3.0,Aru,0.0,,1.0,31,0.0,0.0003885944084025539
Aru,2026-06-25,3.0,Aru,0.0,,1.0,32,0.0,0.0003885944084025539
Aru,2026-06-29,3.0,Aru,0.0,,1.0,33,0.0,0.0003885944084025539
Aru,2026-06-30,3.0,Aru,0.0,,1.0,34,0.0,0.0003885944084025539
Aru,2026-07-01,3.0,Aru,0.0,,1.0,35,0.0,0.0003885944084025539
Aru,2026-07-02,3.0,Aru,0.0,,1.0,36,0.0,0.0003885944084025539
Aru,2026-07-03,3.0,Aru,0.0,,1.0,37,0.0,0.0003885944084025539
Aru,2026-07-04,3.0,Aru,0.0,,1.0,38,0.0,0.0003885944084025539
Aru,2026-07-05,3.0,Aru,0.0,,1.0,39,0.0,0.0003885944084025539
Aru,2026-07-06,3.0,Aru,0.0,,1.0,40,0.0,0.0003885944084025539
Aru,2026-07-07,3.0,Aru,0.0,,1.0,41,0.0,0.0003885944084025539
Aru,2026-07-08,3.0,Aru,0.0,,1.0,42,0.0,0.0003885944084025539
Aru,2026-07-09,3.0,Aru,0.0,,1.0,43,0.0,0.0003885944084025539
Aru,2026-07-10,3.0,Aru,0.0,,1.0,44,0.0,0.0003885944084025539
Aru,2026-07-11,3.0,Aru,0.0,,1.0,45,0.0,0.0003885944084025539
Aru,2026-07-13,3.0,Aru,0.0,,1.0,46,0.0,0.0003885944084025539
Aru,2026-07-15,3.0,Aru,0.0,,1.0,47,0.0,0.0003885944084025539
Aru,2026-07-17,4.0,Aru,1.0,,1.0,48,0.3333333333333333,-1.4251931756567302
Aru,2026-07-18,4.0,Aru,0.0,,1.0,49,0.3333333333333333,-0.8730765821747752
Aru,2026-07-19,4.0,Aru,0.0,,1.0,50,0.3333333333333333,-0.8730765821747752
Aru,2026-07-20,4.0,Aru,0.0,,2.0,51,0.0,0.0003885944084025539
Aru,2026-07-22,5.0,Aru,1.0,,1.0,52,0.3333333333333333,-1.4251931756567302
Aru,2026-07-23,5.0,Aru,0.0,,1.0,53,0.3333333333333333,-0.8730765821747752
Aru,2026-07-25,5.0,Aru,0.0,,4.0,54,0.3333333333333333,-0.8730765821747752
Aru,2026-07-26,5.0,Aru,0.0,1.0,5.0,55,0.0,0.0003885944084025539
Aru,2026-07-27,5.0,Aru,0.0,1.0,5.0,56,0.0,0.0003885944084025539
Aru,2026-07-30,5.0,Aru,0.0,1.0,5.0,57,0.0,0.0003885944084025539
Aru,2026-07-31,5.0,Aru,0.0,1.0,5.0,58,0.0,0.0003885944084025539
Aru,2026-08-01,5.0,Aru,0.0,0.0,5.0,59,0.0,0.0003885944084025539
Aru,2026-08-02,5.0,Aru,0.0,0.0,5.0,60,0.0,0.0003885944084025539
Aru,2026-08-03,5.0,Aru,0.0,0.0,5.0,61,0.0,0.0003885944084025539
Aru,2026-08-04,5.0,Aru,0.0,0.0,5.0,62,0.0,0.0003885944084025539
Aungba,2026-05-28,1.0,Aungba,0.0,,0.0,0,0.0,0.0003885944084025539
Aungba,2026-05-29,1.0,Aungba,0.0,,0.0,1,0.0,0.0003885944084025539
Aungba,2026-05-30,1.0,Aungba,0.0,,0.0,2,0.0,0.0003885944084025539
Aungba,2026-06-01,1.0,Aungba,0.0,,0.0,3,0.0,0.0003885944084025539
Aungba,2026-06-02,1.0,Aungba,0.0,,0.0,4,0.0,0.0003885944084025539
Aungba,2026-06-03,1.0,Aungba,0.0,,0.0,5,0.0,0.0003885944084025539
Aungba,2026-06-04,1.0,Aungba,0.0,,0.0,6,0.0,0.0003885944084025539
Aungba,2026-06-05,1.0,Aungba,0.0,,0.0,7,0.0,0.0003885944084025539
Aungba,2026-06-06,1.0,Aungba,0.0,,0.0,8,0.0,0.0003885944084025539
Aungba,2026-06-07,1.0,Aungba,0.0,,0.0,9,0.0,0.0003885944084025539
