Bunia,2026-05-20,0
Rwampara,2026-05-20,5
Mongbwalu,2026-05-20,0
Nyankunde,2026-05-20,1
Bunia,2026-05-21,1
Rwampara,2026-05-21,0
Mongbwalu,2026-05-21,0
Nyankunde,2026-05-21,7
Bunia,2026-05-22,3
Rwampara,2026-05-22,1
Mongbwalu,2026-05-22,0
Nyankunde,2026-05-22,1
Bunia,2026-05-23,3
Rwampara,2026-05-23,2
Mongbwalu,2026-05-23,0
Nyankunde,2026-05-23,3
Aru,2026-05-23,0
Bunia,2026-05-24,3
Rwampara,2026-05-24,2
Mongbwalu,2026-05-24,0
Nyankunde,2026-05-24,0
Aru,2026-05-24,0
Bambu,2026-05-24,0
Bunia,2026-05-27,0
Rwampara,2026-05-27,0
Mongbwalu,2026-05-27,1
Nyankunde,2026-05-27,0
Bambu,2026-05-27,0
Bunia,2026-05-29,0
Rwampara,2026-05-29,1
Mongbwalu,2026-05-29,0
Nyankunde,2026-05-29,0
Bambu,2026-05-29,0
Aru,2026-05-29,0
Bunia,2026-05-30,0
Rwampara,2026-05-30,0
Mongbwalu,2026-05-30,0
Nyankunde,2026-05-30,0
Bambu,2026-05-30,1
Aru,2026-05-30,0
