DRC,01-06-2026,INCIDENT: Red Cross SDB team members were assaulted and beaten at the cemetery.
DRC,05-06-2026,"Fifteen healthcare providers from four health facilities were briefed on standard precautions, waste management, and handwashing. Another 14 healthcare providers from four additional facilities were briefed on handwashing, biocleaning, and waste management. Decontamination was carried out at the Saint-Nicolas orphanage. A ring opening was conducted around the same orphanage, covering three health facilities, 13 churches, and 433 households."
DRC,01-07-2026,"Insufficient PPE/chlore and training; high nosocomial infection risk (96 HCW cases, 19 deaths)."
DRC,05-07-2026,"Insufficient PPE, chlorine supplies, and limited training, risking high nosocomial infection (96 HCW cases, 19 deaths, 19.7% CFR). PERSPECTIVES: Urgent supply procurement and strengthened IPC training."
DRC,06-07-2026,73 ESS evaluated with 30 scoring below 50%; 9 households decontaminated; 21 ESS accompanied.
DRC,08-07-2026,"19 households identified, 18 decontaminated. 38 EDS (90%) and 37 post-mortem swabs in Ituri. PCI scorecard in 18 facilities (25.1% compliance)."
DRC,13-07-2026,99% of confirmed cases decontaminated. 924 providers trained. Morgue decontamination in Nord-Kivu. IPC training ongoing. Urgent PPE and chlorine supply needed.
DRC,15-07-2026,Decontamination of 15/98 case households within 48h; training of 18 providers and 100 traditional healers.
DRC,17-07-2026,23/76 households decontaminated in Ituri; 1 household and 6 ESS in North Kivu; training in Tshopo.
DRC,18-07-2026,13 scorecard evaluations in Ituri; training completed for 17 providers in Mabalako and 35 supervisors in Katwa/Musienene.
DRC,20-07-2026,34 rings opened in Ituri; 42 ESS followed; 13 ESS decontaminated in North Kivu; 50 PPL trained in South Kivu.
DRC,22-07-2026,25 rings opened in Ituri; training started for 32 supervisors in Beni and 80 in Katwa/Butembo/Musienene.
DRC,23-07-2026,"18 rings opened in Ituri; 4 ESS decontaminated in North Kivu; scorecard evaluations in Tshopo (CS Kwetu 16.1%, CS Jamaa 37.1%)."
DRC,25-07-2026,53 rings opened in Ituri; 61 ESS followed; 8 ESS and 25 vehicles decontaminated; 56/58 households decontaminated; new PPL case at Nizi.
DRC,26-07-2026,"459 people via home visits, 380 via educational talks, 311 via community dialogues, 4,881 via mass sensitization in Ituri; 98 community alerts; 132 vests to RECO."
DRC,27-07-2026,3/31 households decontaminated in North Kivu; 10 ESS decontaminated; 141 ESS followed; 490 providers briefed; 43 EDS and 54 swabs performed.
DRC,01-08-2026,27 rings opened; 36 sites decontaminated (100%); 34/98 households decontaminated; 4 ESS and 3 vehicles decontaminated; 35 ESS followed.
DRC,02-08-2026,53 rings opened and decontaminated; 27 ESS followed; 5 ESS decontaminated; 53/136 households decontaminated; 26 providers trained in Komanda.
DRC,03-08-2026,24 rings opened; 27 ESS followed; 7 ESS and 9 vehicles decontaminated; 49/75 households decontaminated; 112 PPL trained.
DRC,04-08-2026,27 rings opened; 26 ESS followed; 4 ESS and 27 vehicles decontaminated; 55/82 households decontaminated; 112 PPL trained.
