"nom","gdp_pc"
"Aketi","767.365413502607"
"Ango","848.744414609077"
"Bili (Bas-Uele)","905.1309925652"
"Bondo","911.74098062293"
"Buta","523.447133520714"
"Ganga","805.354760437847"
"Likati","792.174181474128"
"Monga","875.908891408747"
"Poko","720.699963314405"
"Titule","605.679491610861"
"Viadana","718.647691650346"
"Aba","614.309123800315"
"Boma Mangbetu","649.795079804045"
"Doruma","611.812641088822"
"Dungu","683.930446056704"
"Faradje","607.61221288795"
"Gombari","498.400327475097"
"Isiro","864.694537755158"
"Niangara","678.331674687351"
"Pawa","657.70662070587"
"Rungu","754.715730448801"
"Wamba","658.620548810451"
"Makoro","627.485474419177"
"Watsa","525.246169920178"
"Basankusu","847.752839810019"
"Bikoro","717.038581562786"
"Bolenge","1374.34240129375"
"Bolomba","730.759677217357"
"Bomongo","1091.33950033041"
"Djombo","685.420222176718"
"Iboko","658.878562923093"
"Ingende","621.186043782658"
"Irebu","1052.34710756414"
"Lilanga Bobangi","1742.80403933748"
"Lotumbe","624.965152282211"
"Lukolela","1438.82684098549"
"Makanza","608.387882654"
"Mampoko","739.853489699983"
"Mbandaka","1433.1290422938"
"Monieka","742.758535438398"
"Ntondo","659.714509228818"
"Wangata","1324.01737814649"
"Kambove","650.625613634904"
"Kapolowe","597.717924612525"
"Kikula","1458.83334026244"
"Kilela Balanda","714.110076240151"
"Likasi","1326.18289455519"
"Mitwaba","702.329055430719"
"Mufunga Sampwe","700.775495489346"
"Panda","1038.39567186393"
"Kafubu","894.360334426732"
"Kamalondo","1661"
"Kampemba","1652.68767427789"
"Kasenga","1653.39190142997"
"Kashobwe","1522.68089396661"
"Katuba","1654.77378786357"
"Kenya","1539.79704601072"
"Kilwa","726.369058190441"
"Kipushi","1379.01314587882"
"Kisanga","1631.08002354273"
"Kowe","1454.4877460096"
"Lubumbashi","1649.93032316149"
"Lukafu","748.154616090322"
"Mumbunda","1646.79629258318"
"Pweto","789.408719091891"
"Ruashi","1567.43230392317"
"Sakania","1651.15111386799"
"Tshamilemba","1661"
"Vangu","1203.35264394767"
"Bukama","719.001836189741"
"Butumba","721.488392906286"
"Kabondo Dianda","717.29904761671"
"Kinkondja","718.797785847489"
"Lwamba","863.11042710768"
"Malemba Nkulu","863.294030988428"
"Mukanga","863.86137710241"
"Mulongo","867.618676528198"
"Baka","613"
"Kabongo","739.715797299669"
"Kamina","613.386938902285"
"Kaniama","689.499317004004"
"Kayamba","735.973805843068"
"Kinda","618.905620460212"
"Kitenge","743.417874361623"
"Songa","620.273976366126"
"Adi","910.248749358362"
"Adja","848.562780101802"
"Angumu","969.058216398416"
"Ariwara","1088.64047535289"
"Aru","1036.08081113418"
"Aungba","977.572047135369"
"Biringi","841.445793289287"
"Kambala","947.336322460953"
"Laybo","822.047058078668"
"Logo","941.532453660064"
"Mahagi","992.086273718073"
"Nyarambe","996.839506200598"
"Rimba","942.729523255723"
"Bambu","840.947584669147"
"Boga","734.381773605348"
"Bunia","735.684869614049"
"Damas","841.072612555002"
"Drodro","843"
"Fataki","842.999999999999"
"Gety","686.809657733478"
"Jiba","843"
"Kilo","836.294612912294"
"Komanda","692.507907914487"
"Linga","843.66146728473"
"Lita","805.043891950733"
"Lolwa","651.035313862763"
"Mambasa","647.658235890822"
"Mandima","680.20311092865"
"Mangala","843"
"Mongbwalu","840.944339585589"
"Nia Nia","651.331561505695"
"Nizi","839.647887298924"
"Nyankunde","680.02836611513"
"Rethy","855.208368148436"
"Rwampara","711.111601156153"
"Tchomia","787.017702021675"
"Bulape","785.568692958624"
"Dekese","646.832471469344"
"Ilebo","731.95190183975"
"Kakenge","787.897513792771"
"Luebo","694.772350721572"
"Mikope","677.002392898899"
"Mushenge","774.723031614728"
"Mweka","787.455302641432"
"Ndjoko Mpunda","682.472678893267"
"Banga Lubaka","694.423909805393"
"Kalonda Ouest","874.974165220005"
"Kamonia","1179.56677603302"
"Kamwesha","873.240974711824"
"Kanzala","878.000000000003"
"Kitangwa","878.559335802906"
"Mutena","964.107346020822"
"Nyanga","865.516290181016"
"Tshikapa","878.21879978563"
"Bena Leka","783.586080720585"
"Bena Tshadi","707.707669973813"
"Bilomba","780.57251883792"
"Bobozo","2336.06607406146"
"Bunkonde","846.54933946855"
"Demba","784.076924037268"
"Dibaya","851.794124162622"
"Kananga","2353.30795390656"
"Katende","711.578386556289"
"Katoka","2405.4870817224"
"Lubondaie","850.305225750878"
"Lubunga (Kasaï-Central)","733.878290853173"
"Lukonga","1953.57328971044"
"Mikalayi","843.745378471293"
"Muetshi","712.085604250303"
"Mutoto","807.48237594787"
"Ndekesha","780.569221180966"
"Ndesha","2346.53867258648"
"Tshikaji","2148.17227923602"
"Tshikula","851.47027590157"
"Kalomba","782.278036325112"
"Luambo","745.248046299804"
"Luiza","743.194856954001"
"Masuika","734.941681870004"
"Tshibala","778.509094217858"
"Yangala","739.135719294558"
"Bibanga","840.733600381581"
"Bipemba","1725.00792536041"
"Bonzola","1831.40318159871"
"Cilundu","795.036977478667"
"Citenge","1152.36595803553"
"Dibindi","2234.37636510001"
"Diulu","1913.45793862427"
"Kabeya Kamwanga","817.977156022989"
"Kansele","2143.22344477157"
"Kasansa","970.773599655291"
"Lubilanji","2069.04259445439"
"Lukelenge","1985.27105525539"
"Miabi","791.996475585992"
"Mpokolo","1482.47056196443"
"Mukumbi","1382.81527609209"
"Muya","2040.16286035408"
"Nzaba","1558.49321434895"
"Tshilenge","992.440417612596"
"Tshishimbi","1332.18267784881"
"Bumbu","2318.17163952767"
"Kalamu 1","2316"
"Kalamu 2","2316"
"Kasa Vubu","2316"
"Kingabwa","2316"
"Kisenso","2316"
"Lemba","2316"
"Limete","2316"
"Makala","2316"
"Matete","2316"
"Ngaba","2316"
"Ngiri Ngiri","2318.39847827987"
"Biyela","2316"
"Kikimi","2316"
"Kimbanseke","2316"
"Kingasani","2316"
"Maluku 1","2652.76541069222"
"Maluku 2","2280.11979347001"
"Masina 1","2316"
"Masina 2","2316"
"Ndjili","2316"
"Nsele","2315.15972239685"
"Bandalungwa","2393.13049617072"
"Barumbu","2316"
"Binza Meteo","2329.15143073816"
"Binza Ozone","2629.83659390902"
"Gombe","2382.53399254361"
"Kinshasa","2316"
"Kintambo","2500.50181115192"
"Kokolo","2469.0026917151"
"Lingwala","2316"
"Mont Ngafula 1","2309.5706245972"
"Mont Ngafula 2","2503.28559990911"
"Police","2522.06625151329"
"Selembao","2318.16682951626"
"Boma","2375.5414355243"
"Boma Bungu","1008.28207591145"
"Kangu","875.406993340972"
"Kinkonzi","1053.91989898792"
"Kitona","1046.21031880821"
"Kizu","996.844260421517"
"Kuimba","1530.67017384199"
"Lukula","878.833553810118"
"Muanda","926.49635000571"
"Tshela","1091.88086520937"
"Vaku","932.927813488022"
"Inga","676.299784371347"
"Kibunzi","693.614040566078"
"Luozi","738.37162040771"
"Mangembo","825.80075387276"
"Matadi","2091.99342543692"
"Nsona Mpangu","892.836841704868"
"Nzanza","1431.37964040329"
"Seke Banza","679.315097656943"
"Boko Kivulu","707.698821534979"
"Gombe Matadi","724.415479318455"
"Kimpangu","1220.52495475269"
"Kimpese","702.452139337503"
"Kimvula","935.072020113928"
"Kisantu","777.049562953619"
"Kwilu Ngongo","703.391102307519"
"Massa","1255.66268545228"
"Mbanza Ngungu","702"
"Ngidinga","851.194880749959"
"Nselo","839.281820605439"
"Sona Bata","842.161356252202"
"Kahemba","1225.65135175644"
"Kajiji","1194.87321150062"
"Kisanji","799.785212793695"
"Panzi","632.692464233652"
"Tembo","1189.2662273811"
"Boko","780.431674523552"
"Feshi","801.538252259476"
"Kasongo Lunda","876.160979092525"
"Kenge","752.497260249597"
"Kimbao","753.831870427439"
"Kitenda","835.246789620759"
"Mwela Lembwa","793.313011707031"
"Popokabaka","778.740159268093"
"Wamba Lwadi","635.103916482654"
"Bagata","697.434755735748"
"Bandundu","744.947112135135"
"Djuma","786.585805657441"
"Kikongo","709.520504861197"
"Sia","697.012902695635"
"Vanga","786.818995664428"
"Bulungu","798.451418480447"
"Gungu","630.483037025859"
"Idiofa","722.438282623904"
"Ipamu","716.754816058207"
"Kikwit Nord","1493.01835516727"
"Kikwit Sud","1437.27770074044"
"Kimputu","724.761837643838"
"Kingandu","631.609752953259"
"Koshibanda","720.351620299101"
"Lusanga","849.789091726287"
"Masi Manimba","631.79119668206"
"Moanza","637.538225644077"
"Mokala","722.990536431583"
"Mosango","635.717667852348"
"Mukedi","632.970988400782"
"Mungindu","631.601642443325"
"Pay Kongila","636.371264139521"
"Yasa Bonga","632.938818075678"
"Kabinda","714.596647838739"
"Kalambayi Kabanga","726.66076093448"
"Kalonda Est","705.869905613993"
"Kamana","664.956489128249"
"Lubao","666.390569400447"
"Ludimbi Lukula","709.055236307955"
"Mulumba","737.103159936419"
"Ngandajika","723.510800643856"
"Tshofa","666.242076544704"
"Kalenda","679.329321861008"
"Kamiji","829.487339946073"
"Kanda Kanda","703.823604212178"
"Luputa","678.083113163468"
"Makota","843.655326457783"
"Mweneditu","1016.46169008474"
"Wikong","674.625847216143"
"Dilolo","1248.20105603113"
"Kafakumba","790.131370148689"
"Kalamba","621.596692010495"
"Kapanga","620.605799092221"
"Kasaji","622.666636525257"
"Sandoa","796.770602885318"
"Bunkeya","876.282073660236"
"Dilala","727.999999999999"
"Fungurume","899.557442935978"
"Kanzenze","740.813679099576"
"Lualaba","737.105703684235"
"Lubudi","893.176232222754"
"Manika","728"
"Mutshatsha","744.724397310085"
"Banzow Moke","739.266457497132"
"Inongo","752.393596071571"
"Kiri","697.203571320631"
"Mimia","628.241340872595"
"Ntandembelo","756.246008974034"
"Oshwe","639.072128064879"
"Pendjwa","682.131605896269"
"Yumbi","740.555741447983"
"Bokoro","668.1645231944"
"Bolobo","1240.20548487771"
"Bosobe","669.140941907725"
"Kwamouth","878.040316174665"
"Mushie","734.86046203334"
"Nioki","675.322624718214"
"Kabambare","651.500345850551"
"Kampene","675.462773595174"
"Kasongo","669.132129709684"
"Kibombo","701.447601855794"
"Kunda","625.016527935068"
"Lusangi","555.962072816475"
"Saramabila","558.741892780011"
"Tunda","704.162714677538"
"Alunguli","1358.93619651399"
"Kailo","896.335016831264"
"Kalima","685.447921110535"
"Kindu","1331.47752091762"
"Pangi","677.500733284926"
"Samba","616.994172628097"
"Ferekeni","712.245396542345"
"Lubutu","662.665708741915"
"Obokote","665.048530985595"
"Punia","676.033863571696"
"Bumba","616.538542467607"
"Lolo","614.750002399726"
"Yamaluka","618.278407968593"
"Yambuku","617.025124929367"
"Yamongili","611.160364370589"
"Binga","789.033958672605"
"Bongandanga","934.316705653451"
"Boso Manzi","784.454527798836"
"Boso Mondanda","934.451197991215"
"Bosondjo","959.6634579649"
"Lisala","893.630255814795"
"Pimu","967.131629796807"
"Alimbongo","720.801306190313"
"Beni","2126.7359909335"
"Biena","744.821719113842"
"Butembo","1812.60843385629"
"Kalunguta","910.900393358372"
"Kamango","867.7996906358"
"Katwa","1657.40766300989"
"Kyondo","825.486107003528"
"Lubero","721.059566699776"
"Mabalako","868.707465603387"
"Manguredjipa","724.319326086042"
"Masereka","722.556013240513"
"Musienene","884.515321072998"
"Mutwanga","889.335533955002"
"Oicha","1117.22542361062"
"Vuhovi","895.810666323035"
"Bambo","865"
"Binza","932.541338519878"
"Birambizo","869.940576958951"
"Goma","1308.21541560974"
"Itebero","697.892956125643"
"Karisimbi","1582.26773945487"
"Katoyi","933.264241398686"
"Kayna","733.382583578143"
"Kibirizi","842.143128837245"
"Kibua","727.499284857417"
"Kirotshe","924.919891852603"
"Masisi","934.763451007857"
"Mweso","909.445513687418"
"Nyiragongo","1774.83077051083"
"Pinga","751.418895449378"
"Rutshuru","865.335414429226"
"Rwanguba","958.334157202413"
"Walikale","687.806283215289"
"Abuzi","681.851953976589"
"Bili (Nord-Ubangi)","815.281131878653"
"Bosobolo","833.374024441398"
"Businga","702.352046122199"
"Gbadolite","718.696100142883"
"Karawa","682.906921976446"
"Loko","691.632540802752"
"Mobayi Mbongo","641.027393848976"
"Wapinda","684.590706769934"
"Wasolo","682"
"Yakoma","665.467283493704"
"Bena Dibele","943.978021007843"
"Djalo Ndjeka","956.118761153044"
"Katako Kombe","956.315527225117"
"Kole","920.675838872108"
"Lodja","705.999999999999"
"Lomela","946.016787786701"
"Lusambo","836.473783378581"
"Omendjadi","818.840845682508"
"Ototo","711.123929371492"
"Tshudi Loto","942.857589974993"
"Vanga Kete","747.126634848138"
"Dikungu","949.694714999506"
"Minga","790.711736475572"
"Pania Mutombo","849.113749860588"
"Tshumbe","811.325027652854"
"Wembo Nyama","929.715201302677"
"Bagira","1158.35850815806"
"Bunyakiri","844.729857482467"
"Ibanda","1464.74415978162"
"Idjwi","873.425006857602"
"Kabare","904.366847431413"
"Kadutu","1282.74485028629"
"Kalehe","851.630439421376"
"Kalole","731.103319393499"
"Kalonge","851.181335178375"
"Kamituga","862.810140015318"
"Kaniola","1085.68688017402"
"Katana","843.446206523721"
"Kaziba","1253.14356404434"
"Kitutu","860.19080999238"
"Lulingu","727.547851559225"
"Minova","895.579866312614"
"Miti Murhesa","820.148424720019"
"Mubumbano","1353.46096170273"
"Mulungu","735.144816980108"
"Mwana","1102.6984600281"
"Mwenga","877.306539307882"
"Nyangezi","1345.51636569822"
"Nyantende","1399.48663915195"
"Shabunda","728.051008350866"
"Walungu","1235.69412169975"
"Fizi","1446.90527211507"
"Haut Plateau","817.092051533515"
"Itombwe","963.676228728802"
"Kimbi Lulenge","1293.94404015514"
"Lemera","852.791692778599"
"Minembwe","1281.5853207941"
"Nundu","1404.76828120006"
"Ruzizi","800.703314913832"
"Uvira","801.812457079475"
"Bangabola","674.436631855178"
"Bogosenubea","496.007168255644"
"Bokonzi","988.936031739341"
"Bominenge","504.577738471738"
"Boto","826.676826217699"
"Budjala","663.659232503256"
"Bulu","668.103506132918"
"Bwamanda","500.489866965695"
"Gemena","500.456981086142"
"Kungu","837.290621980019"
"Libenge","924.220469104488"
"Mawuya","1182.02282476621"
"Mbaya","665.184453189646"
"Ndage","671.240289582153"
"Tandala","509.059035394727"
"Zongo","1320.63507171781"
"Bafwagbogbo","692.047952713099"
"Bafwasende","686.240732290369"
"Banalia","776.553564296024"
"Bengamisa","822.138956793605"
"Kabondo","1552.22113294257"
"Lowa","887.337243056485"
"Lubunga (Tshopo)","1500.91879196871"
"Makiso Kisangani","1552.25230530111"
"Mangobo","1557"
"Opala","685.154351243905"
"Opienge","688.506495226923"
"Tshopo","1451.15523539212"
"Ubundu","908.313677424088"
"Wanierukula","902.030546333491"
"Yahisuli","677.001468356161"
"Yakusu","766.103401000793"
"Yaleko","689.459227682236"
"Basali","670.762801474396"
"Basoko","669.165341427185"
"Isangi","680.733595095907"
"Yabaondo","677.951399672374"
"Yahuma","639.688745807061"
"Yalimbongo","668.12941159596"
"Befale","749.423453614825"
"Boende","766.461704010456"
"Djolu","562.190829762928"
"Lingomo","593.46763265058"
"Mompono","721.437259119301"
"Monkoto","673.075632068171"
"Wema","746.568512992151"
"Bokungu","633.436344355501"
"Busanga","643.332039242376"
"Ikela","639.724106761729"
"Mondombe","622.351337072481"
"Yalifafu","635.068923364614"
"Ankoro","838.669842736827"
"Kabalo","831.122618038457"
"Kalemie","1565.23607347054"
"Kansimba","776.35898359247"
"Kiambi","838.341122679907"
"Kongolo","681.261168844954"
"Manono","1271.08008381839"
"Mbulula","681.874696572758"
"Moba","778.078406488511"
"Nyemba","1236.5723986749"
"Nyunzu","693.161264894078"
