"nom","socioeconomic_inequality"
"Aketi","0.446605395323982"
"Ango","0.446573869759218"
"Bili (Bas-Uele)","0.443734007256776"
"Bondo","0.446416537418994"
"Buta","0.446713356160265"
"Ganga","0.445231176127246"
"Likati","0.44065374811321"
"Monga","0.45595328929898"
"Poko","0.455369202571686"
"Titule","0.444186718922102"
"Viadana","0.481682346108773"
"Aba","0.518215827175369"
"Boma Mangbetu","0.523984224507872"
"Doruma","0.493686077193703"
"Dungu","0.518686077254323"
"Faradje","0.522268740298787"
"Gombari","0.526562238126662"
"Isiro","0.504031949595161"
"Niangara","0.513174017047773"
"Pawa","0.516862183122494"
"Rungu","0.513370525433848"
"Wamba","0.54307502345018"
"Makoro","0.547759990104341"
"Watsa","0.522520435633891"
"Basankusu","0.379253088493429"
"Bikoro","0.382452317134584"
"Bolenge","0.382748792781567"
"Bolomba","0.380982114311759"
"Bomongo","0.39454821545189"
"Djombo","0.375670907224893"
"Iboko","0.413799932251371"
"Ingende","0.385248806618269"
"Irebu","0.380382466051483"
"Lilanga Bobangi","0.389630542138511"
"Lotumbe","0.373955092758326"
"Lukolela","0.368414318495993"
"Makanza","0.387188818705833"
"Mampoko","0.381008624993683"
"Mbandaka","0.381005772860556"
"Monieka","0.36556820602778"
"Ntondo","0.401251372954174"
"Wangata","0.381150140720459"
"Kambove","0.580845168968573"
"Kapolowe","0.584540702838172"
"Kikula","0.583398625988142"
"Kilela Balanda","0.582802077056592"
"Likasi","0.583830053462859"
"Mitwaba","0.584378701599895"
"Mufunga Sampwe","0.583784249193725"
"Panda","0.583862465155077"
"Kafubu","0.584719142959732"
"Kamalondo","0.583623023979725"
"Kampemba","0.583776348798238"
"Kasenga","0.5904406795749"
"Kashobwe","0.589458507663609"
"Katuba","0.583405465705807"
"Kenya","0.583496394641395"
"Kilwa","0.586938293044471"
"Kipushi","0.582072804443451"
"Kisanga","0.58329581744399"
"Kowe","0.580109069445858"
"Lubumbashi","0.58380334489663"
"Lukafu","0.584353910016787"
"Mumbunda","0.583427432263748"
"Pweto","0.587432748521981"
"Ruashi","0.584034777930463"
"Sakania","0.57327339096118"
"Tshamilemba","0.583858890988211"
"Vangu","0.581150798309204"
"Bukama","0.57408756567662"
"Butumba","0.576478442388193"
"Kabondo Dianda","0.575007475956451"
"Kinkondja","0.575056312420142"
"Lwamba","0.577355184736147"
"Malemba Nkulu","0.575813379933601"
"Mukanga","0.577651821897614"
"Mulongo","0.579188607052587"
